X,Y,name,location,cuisine,website,delivery
-6.7194,55.18606,Ballywindland Dairys,Portstewart,Milk Men,078 1443 2753,Delivery ✅
-6.464197548,54.27521265,Rices,Poyntzpass,Pre Made Meals,https://www.facebook.com/rices.poyntzpass/,Delivery ✅
-6.464197548,54.27521265,O'Malley's Farm Shop & Potatoes,Poyntzpass,Farm Shop,https://www.facebook.com/omalleysfarmshop/,Delivery ✅
-6.464197548,54.27521265,Poyntzpass Pharmacy,Poyntzpass,Pharmacy,https://www.facebook.com/Poyntzpass-Pharmacy-126660150820450/,Delivery ✅
-6.464197548,54.27521265,Trainors Spar,Poyntzpass,Groceries,https://www.facebook.com/SPARPoyntzpass/,Delivery ✅
-6.55259,54.37176,Fruitfield Foodhall - Supervalu,Richhill,Groceries,https://www.facebook.com/fruitfieldfoodhall/,Delivery ✅
-5.8316,54.46048,Jacksons of Saintfield,Saintfield,Groceries,https://www.facebook.com/jacksonsofsaintfield/,Delivery ✅
-6.364399551,54.23235528,Weir's Organic Raw Milk ,Tandragee ,Milk Men,https://www.facebook.com/Weirs-Organic-Raw-Milk-422591707846805/,Delivery ✅
-6.65179,54.34905,J.D. Hunter & Co Supermarket,Armagh,Groceries,https://www.facebook.com/hunterssupermarket/,Delivery ✅
-6.65179,54.34905,McAnerneys,Armagh,Groceries,https://www.facebook.com/McAnerneys/,Delivery ✅
-6.65179,54.34905,Kearney Milk Delivery,Armagh,Milk Men,https://www.facebook.com/Kearney-Milk-Delivery-103307577981911/,Delivery ✅
